Barcode	SampleName	ASO	Dose	Experiment	Plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
BC49	EX-00001_20nm	EX-00001	20	TT19	2	864	258	87	370	30	119	0.428240740740741	0.298611111111111	EX-00001
BC55	PBS_20nm	PBS	20	TT19	2	2005	595	258	862	82	208	0.429925187032419	0.296758104738155	PBS
BC57	EX-00001_2nm	EX-00001	2	TT19	2	1615	557	147	707	66	138	0.437770897832817	0.344891640866873	EX-00001
BC63	PBS_2nm	PBS	2	TT19	2	943	277	136	393	29	108	0.416755037115589	0.293743372216331	PBS
BC65	PBS_2000nm	PBS	2000	TT19	2	690	231	70	292	18	79	0.423188405797101	0.334782608695652	PBS
BC73	PBS_200nm	PBS	200	TT19	2	3564	1131	327	1567	133	406	0.439674523007856	0.317340067340067	PBS
BC81	PBS_20nm	PBS	20	TT19	2	5393	1655	598	2382	160	598	0.4416836640089	0.306879287965882	PBS
BC89	PBS_2nm	PBS	2	TT19	2	1618	528	176	684	47	183	0.42274412855377	0.326328800988875	PBS
BC09	PBS_200nm	PBS	200	TT20	1	704	246	33	323	21	81	0.458806818181818	0.349431818181818	PBS
BC16	EX-00001_200nm	EX-00001	200	TT20	1	247	50	34	143	3	17	0.578947368421053	0.202429149797571	EX-00001
BC17	PBS_20nm	PBS	20	TT20	1	1037	317	54	462	44	160	0.445515911282546	0.305689488910318	PBS
BC24	EX-00001_20nm	EX-00001	20	TT20	1	332	104	22	166	12	28	0.5	0.313253012048193	EX-00001
BC32	EX-00001_2nm	EX-00001	2	TT20	1	496	149	43	236	12	56	0.475806451612903	0.300403225806452	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT20	1	1256	434	72	568	34	148	0.452229299363057	0.345541401273885	EX-00001
BC39	PBS_2000nm	PBS	2000	TT20	1	1097	333	77	538	28	121	0.490428441203282	0.30355515041021	PBS
BC41	EX-00001_200nm	EX-00001	200	TT20	1	1170	380	58	549	39	144	0.469230769230769	0.324786324786325	EX-00001
BC47	PBS_200nm	PBS	200	TT20	1	782	239	70	357	15	101	0.456521739130435	0.305626598465473	PBS
BC49	EX-00001_20nm	EX-00001	20	TT20	1	600	179	44	292	16	69	0.486666666666667	0.298333333333333	EX-00001
BC55	PBS_20nm	PBS	20	TT20	1	561	171	64	242	20	64	0.431372549019608	0.304812834224599	PBS
BC57	EX-00001_2nm	EX-00001	2	TT20	1	739	257	43	331	29	79	0.447902571041949	0.347767253044655	EX-00001
BC63	PBS_2nm	PBS	2	TT20	1	137	35	20	63	1	18	0.45985401459854	0.255474452554745	PBS
BC65	PBS_2000nm	PBS	2000	TT20	1	177	42	20	93	4	18	0.525423728813559	0.23728813559322	PBS
BC73	PBS_200nm	PBS	200	TT20	1	986	310	64	471	26	115	0.477687626774848	0.314401622718053	PBS
BC81	PBS_20nm	PBS	20	TT20	1	1962	560	174	957	57	214	0.487767584097859	0.285423037716616	PBS
BC89	PBS_2nm	PBS	2	TT20	1	344	94	39	167	12	32	0.48546511627907	0.273255813953488	PBS
BC01	PBS_2000nm	PBS	2000	TT20	2	968	342	41	480	19	86	0.495867768595041	0.353305785123967	PBS
BC07	PBS_2000nm	PBS	2000	TT20	2	271	98	11	125	7	30	0.461254612546125	0.361623616236162	PBS
BC08	EX-00001_2000nm	EX-00001	2000	TT20	2	120	29	14	66	1	10	0.55	0.241666666666667	EX-00001
BC15	PBS_200nm	PBS	200	TT20	2	644	219	45	293	15	72	0.454968944099379	0.340062111801242	PBS
BC16	EX-00001_200nm	EX-00001	200	TT20	2	606	197	66	256	17	70	0.422442244224422	0.325082508250825	EX-00001
BC23	PBS_20nm	PBS	20	TT20	2	1877	589	126	894	51	217	0.476291955247736	0.313798614810868	PBS
BC24	EX-00001_20nm	EX-00001	20	TT20	2	442	150	24	204	7	57	0.461538461538462	0.339366515837104	EX-00001
BC25	PBS_2nm	PBS	2	TT20	2	380	90	27	227	7	29	0.597368421052632	0.236842105263158	PBS
BC31	PBS_2nm	PBS	2	TT20	2	611	205	29	269	25	83	0.440261865793781	0.335515548281506	PBS
BC32	EX-00001_2nm	EX-00001	2	TT20	2	783	252	69	336	21	105	0.42911877394636	0.32183908045977	EX-00001
BC33	EX-00001_2000nm	EX-00001	2000	TT20	2	336	76	29	203	2	26	0.604166666666667	0.226190476190476	EX-00001
BC41	EX-00001_200nm	EX-00001	200	TT20	2	279	96	23	131	7	22	0.469534050179211	0.344086021505376	EX-00001
BC49	EX-00001_20nm	EX-00001	20	TT20	2	311	88	33	152	8	30	0.488745980707395	0.282958199356913	EX-00001
BC01	PBS_2000nm_1	PBS	2000	TT21	1	4351	1293	217	2053	105	683	0.471845552746495	0.297173063663526	PBS
