ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-EX-00001	BC41	EX-00001_200nM_2	200	TT18	2	290	84	20	136	13	37	0.468965517241379	0.289655172413793	EX-00001
CR-AA-02327	BC45	CR2327_200nM_1	200	TT18	2	405	60	35	238	14	58	0.587654320987654	0.148148148148148	2327
PBS	BC47	PBS_200nM_2	200	TT18	2	353	55	54	188	5	51	0.53257790368272	0.155807365439093	PBS
CR-EX-00001	BC49	EX-00001_20nM_2	20	TT18	2	338	108	21	171	9	29	0.505917159763314	0.319526627218935	EX-00001
CR-AA-02327	BC53	CR2327_20nM_1	20	TT18	2	1011	199	96	551	32	133	0.545004945598417	0.196834817012859	2327
PBS	BC55	PBS_20nM_2	20	TT18	2	2162	700	138	1001	78	245	0.462997224791859	0.32377428307123	PBS
CR-EX-00001	BC57	EX-00001_2nM_2	2	TT18	2	214	60	19	102	4	29	0.476635514018692	0.280373831775701	EX-00001
CR-AA-02327	BC61	CR2327_2nM_1	2	TT18	2	1433	441	113	682	42	155	0.475924633635729	0.307745987438939	2327
PBS	BC63	PBS_2nM_2	2	TT18	2	104	28	14	48	4	10	0.461538461538462	0.269230769230769	PBS
PBS	BC65	PBS_2000nM_3	2000	TT18	2	352	109	21	163	9	50	0.463068181818182	0.309659090909091	PBS
PBS	BC73	PBS_200nM_3	200	TT18	2	452	121	50	209	26	46	0.462389380530973	0.267699115044248	PBS
PBS	BC81	PBS_20nM_3	20	TT18	2	341	56	72	167	11	35	0.489736070381232	0.164222873900293	PBS
PBS	BC89	PBS_2nM_3	2	TT18	2	728	234	37	348	22	87	0.478021978021978	0.321428571428571	PBS
PBS	BC01	PBS_2000nm_1	2000	TT19	1	6522	1913	638	3057	151	763	0.468721251149954	0.293314934069304	PBS
CR-EX-00001	BC08	EX-00001_2000nm_1	2000	TT19	1	293	100	19	133	10	31	0.453924914675768	0.341296928327645	EX-00001
PBS	BC09	PBS_200nm_1	200	TT19	1	1379	432	139	601	40	167	0.435823060188542	0.313270485859318	PBS
CR-EX-00001	BC16	EX-00001_200nm_1	200	TT19	1	616	204	53	288	9	62	0.467532467532468	0.331168831168831	EX-00001
PBS	BC17	PBS_20nm_1	20	TT19	1	1894	588	137	830	69	270	0.438225976768743	0.310454065469905	PBS
CR-EX-00001	BC24	EX-00001_20nm_1	20	TT19	1	1106	359	102	487	24	134	0.440325497287523	0.324593128390597	EX-00001
PBS	BC25	PBS_2nm_1	2	TT19	1	2126	634	157	1032	53	250	0.485418626528692	0.298212605832549	PBS
CR-EX-00001	BC32	EX-00001_2nm_1	2	TT19	1	2333	794	215	1013	78	233	0.434204886412345	0.340334333476211	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm_2	2000	TT19	1	1726	523	148	800	52	203	0.463499420625724	0.303012746234067	EX-00001
PBS	BC39	PBS_2000nm_2	2000	TT19	1	3729	1281	327	1592	114	415	0.426924108340038	0.343523732904264	PBS
CR-EX-00001	BC41	EX-00001_200nm_2	200	TT19	1	1210	374	120	525	53	138	0.433884297520661	0.309090909090909	EX-00001
PBS	BC47	PBS_200nm_2	200	TT19	1	4226	1235	486	1843	136	526	0.43610979649787	0.292238523426408	PBS
