ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
PBS	BC17	PBS_20nm	20	TT33	sara	589	86	172	232	53	46	0.393887945670628	0.146010186757216	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT33	sara	227	45	66	76	18	22	0.334801762114537	0.198237885462555	EX-00001
PBS	BC25	PBS_2nm	2	TT33	sara	1277	150	455	433	116	123	0.339075959279561	0.117462803445576	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT33	sara	417	68	137	135	31	46	0.323741007194245	0.163069544364508	EX-00001
PBS	BC39	PBS_2000nm	2000	TT33	sara	824	237	113	375	38	61	0.455097087378641	0.287621359223301	PBS
PBS	BC47	PBS_200nm	200	TT33	sara	225	73	33	91	14	14	0.404444444444444	0.324444444444444	PBS
PBS	BC55	PBS_20nm	20	TT33	sara	141	30	35	55	12	9	0.390070921985816	0.212765957446809	PBS
CR-AA-02333	BC65	CR2333_2000nm	2000	TT33	sara	253	32	55	114	22	30	0.450592885375494	0.126482213438735	2333
CR-AA-02333	BC73	CR2333_200nm	200	TT33	sara	762	93	238	282	66	83	0.37007874015748	0.122047244094488	2333
CR-AA-02333	BC81	CR2333_20nm	20	TT33	sara	2904	812	400	1287	114	291	0.443181818181818	0.279614325068871	2333
CR-AA-02333	BC89	CR2333_2nm	2	TT33	sara	579	92	190	176	61	60	0.303972366148532	0.158894645941278	2333
PBS	BC01	PBS_2000nm	2000	TT34	megan	2614	785	372	1006	98	353	0.384850803366488	0.300306044376435	PBS
PBS	BC09	PBS_200nm	200	TT34	megan	1212	378	167	491	43	133	0.405115511551155	0.311881188118812	PBS
CR-EX-00001	BC16	EX-00001_200nm	200	TT34	megan	877	266	138	331	31	111	0.377423033067275	0.303306727480046	EX-00001
PBS	BC17	PBS_20nm	20	TT34	megan	540	154	66	226	22	72	0.418518518518519	0.285185185185185	PBS
CR-EX-00001	BC24	EX-00001_20nm	20	TT34	megan	417	101	83	167	17	49	0.400479616306954	0.24220623501199	EX-00001
PBS	BC25	PBS_2nm	2	TT34	megan	1170	315	189	489	59	118	0.417948717948718	0.269230769230769	PBS
CR-EX-00001	BC32	EX-00001_2nm	2	TT34	megan	795	232	110	317	37	99	0.39874213836478	0.291823899371069	EX-00001
PBS	BC39	PBS_2000nm	2000	TT34	megan	1122	335	177	406	46	158	0.361853832442068	0.298573975044563	PBS
PBS	BC47	PBS_200nm	200	TT34	megan	892	226	137	375	38	116	0.420403587443946	0.253363228699552	PBS
PBS	BC55	PBS_20nm	20	TT34	megan	620	173	123	224	31	69	0.361290322580645	0.279032258064516	PBS
PBS	BC63	PBS_2nm	2	TT34	megan	256	72	52	83	11	38	0.32421875	0.28125	PBS
CR-AA-02333	BC65	CR2333_2000nm	2000	TT34	megan	277	32	38	155	12	40	0.55956678700361	0.115523465703971	2333
CR-AA-02333	BC73	CR2333_200nm	200	TT34	megan	1188	239	173	558	34	184	0.46969696969697	0.201178451178451	2333
CR-AA-02333	BC81	CR2333_20nm	20	TT34	megan	7279	1841	1176	3066	251	945	0.42121170490452	0.25291935705454	2333
CR-AA-02333	BC89	CR2333_2nm	2	TT34	megan	523	172	71	202	19	59	0.38623326959847	0.32887189292543	2333
