sample_id	exp	conc_nm	ave_sample_dire1_ov_ire	ave_PBS_dire1_ov_ire	sample_ov_pbs	ASO_Conc
CR2333	TT30	200	0.281945168936988	0.849698766181041	0.331817792562165	200 nM
CR2333	TT33	200	0.224489795918367	0.733687683284459	0.30597460068214	200 nM
CR2333	TT34	200	0.288996372430472	0.873490116471587	0.33085248130552	200 nM
CR2333	TT18	20	0.596618632038485	0.538396738918445	1.10813938664822	20 nM
CR2333	TT20	20	0.569594530338901	0.626881947316245	0.908615302733476	20 nM
CR2333	TT21	20	0.378445865248797	0.472236999733406	0.801389695137066	20 nM
CR2333	TT25	20	0.566893585084001	0.716230873592244	0.791495600072021	20 nM
CR2333	TT30	20	0.750188554484498	0.756853999789314	0.991193221801468	20 nM
CR2333	TT33	20	0.566083576287658	0.560958205912334	1.00913681326221	20 nM
CR2333	TT34	20	0.647976596782058	0.863473865877712	0.750429888371198	20 nM
CR2333	TT18	2	0.588441769162551	0.542582647152415	1.08452006758936	2 nM
CR2333	TT20	2	0.622870459659274	0.498450913839286	1.249612433974	2 nM
CR2333	TT21	2	0.498847926267281	0.434747790970479	1.14744211846071	2 nM
CR2333	TT25	2	0.764295817790231	0.606255427307648	1.26068284647683	2 nM
CR2333	TT30	2	0.798879749152214	0.76994393135764	1.03758172071511	2 nM
CR2333	TT33	2	1.53571428571429	0.365740740740741	4.1989150090416	2 nM
CR2333	TT34	2	0.985454545454545	0.700203780479235	1.40738249767814	2 nM
CR4148	TT25	2000	0.241547246210665	0.672384870886166	0.35923956155099	2000 nM
CR4148	TT31	2000	0.445833333333334	0.795763736679011	0.56025841940718	2000 nM
CR4148	TT25	200	0.432132856675453	0.831404022919128	0.51976276847711	200 nM
CR4148	TT31	200	0.552948343079922	0.819985452744634	0.674339210810518	200 nM
CR4148	TT25	20	0.572570257951739	0.716230873592244	0.799421358479037	20 nM
CR4148	TT31	20	0.797720364741642	0.824904603197604	0.967045597332605	20 nM
CR4148	TT25	2	0.585126261971182	0.606255427307648	0.965148080520615	2 nM
CR4148	TT31	2	0.746233034909043	0.796010908168443	0.937465840293653	2 nM
CR4150	TT25	2000	0.168357969019529	0.672384870886166	0.250389287905367	2000 nM
CR4150	TT31	2000	0.210919943281	0.795763736679011	0.265053474491361	2000 nM
CR4150	TT25	200	0.31713732821991	0.831404022919128	0.381447911577833	200 nM
CR4150	TT31	200	0.43030458454983	0.819985452744634	0.524770998204329	200 nM
CR4150	TT25	20	0.671510082265231	0.716230873592244	0.937560927661891	20 nM
CR4150	TT31	20	0.640751086281813	0.824904603197604	0.776757801808899	20 nM
CR4150	TT25	2	0.636090599110824	0.606255427307648	1.04921221396017	2 nM
CR4150	TT31	2	0.755542021924482	0.796010908168443	0.949160387340575	2 nM
CR4151	TT25	2000	0.0583885429276328	0.672384870886166	0.086837978449277	2000 nM
CR4151	TT31	2000	0.155898315907095	0.795763736679011	0.195910304429944	2000 nM
CR4151	TT34	2000	0.135897917449188	0.840925952277993	0.16160509386237	2000 nM
CR4151	TT25	200	0.30848570671985	0.831404022919128	0.371041874005771	200 nM
CR4151	TT31	200	0.442113840804663	0.819985452744634	0.539172785718126	200 nM
CR4151	TT34	200	0.427755083440072	0.873490116471587	0.489707983380469	200 nM
CR4151	TT25	20	0.609189303904923	0.716230873592244	0.850548791410714	20 nM
CR4151	TT31	20	0.718134347180316	0.824904603197604	0.870566541144987	20 nM
CR4151	TT34	20	0.712510628200818	0.863473865877712	0.825167565988298	20 nM
CR4151	TT25	2	0.858723829173776	0.606255427307648	1.41643899665745	2 nM
CR4151	TT31	2	0.784403066812706	0.796010908168443	0.985417484563816	2 nM
CR4151	TT34	2	0.783692307692307	0.700203780479235	1.1192346136091	2 nM
CR4152	TT25	2000	0.103920451385314	0.672384870886166	0.154555011400469	2000 nM
CR4152	TT31	2000	0.183187854025444	0.795763736679011	0.230203822544049	2000 nM
CR4152	TT34	2000	0.288435828877005	0.840925952277993	0.342997891901966	2000 nM
CR4152	TT25	200	0.307280967547284	0.831404022919128	0.369592832216995	200 nM
CR4152	TT31	200	0.464795797922569	0.819985452744634	0.566834199761492	200 nM
CR4152	TT34	200	0.444367760617761	0.873490116471587	0.508726718526317	200 nM
CR4152	TT25	20	0.454356898506235	0.716230873592244	0.634372121139397	20 nM
CR4152	TT31	20	0.77937187723055	0.824904603197604	0.944802434377801	20 nM
CR4152	TT34	20	0.715495860232702	0.863473865877712	0.828624800943348	20 nM
CR4152	TT25	2	0.537006320506882	0.606255427307648	0.885775691760323	2 nM
CR4152	TT31	2	0.784755403868032	0.796010908168443	0.985860112989772	2 nM
CR4152	TT34	2	0.793843427582984	0.700203780479235	1.13373199304874	2 nM
CR4154	TT26	2000	0.217213114754098	0.6635588662535	0.327345659595355	2000 nM
CR4154	TT31	2000	0.097318266149435	0.795763736679011	0.122295427227655	2000 nM
CR4154	TT26	200	0.371972858602072	0.636708539379743	0.584212140400117	200 nM
CR4154	TT31	200	0.41607898448519	0.819985452744634	0.507422397668765	200 nM
CR4154	TT26	20	0.541113803475936	0.765719240496439	0.706673901944942	20 nM
CR4154	TT31	20	0.718918918918919	0.824904603197604	0.871517647170534	20 nM
CR4154	TT26	2	0.74858876640645	0.762921422012331	0.981213457648002	2 nM
CR4154	TT31	2	0.767676767676768	0.796010908168443	0.964404833902503	2 nM
CR4174	TT28	2000	0.419852237491865	0.849299199084668	0.494351387525575	2000 nM
CR4174	TT34	2000	0.0922578130536463	0.840925952277993	0.109709794071319	2000 nM
CR4174	TT28	200	0.108355537676288	0.664970288713548	0.162947938449871	200 nM
